id,title,type,release_year,runtime,genres,imdb_score
tm84618,Taxi Driver,MOVIE,1976,114,"['drama', 'crime']",8.2
tm154986,Deliverance,MOVIE,1972,109,"['drama', 'action', 'thriller', 'european']",7.7
tm127384,Monty Python and the Holy Grail,MOVIE,1975,91,"['fantasy', 'action', 'comedy']",8.2
tm120801,The Dirty Dozen,MOVIE,1967,150,"['war', 'action']",7.7
ts22164,Monty Python's Flying Circus,SHOW,1969,30,"['comedy', 'european']",8.8
tm70993,Life of Brian,MOVIE,1979,94,['comedy'],8.0
tm14873,Dirty Harry,MOVIE,1971,102,"['thriller', 'action', 'crime']",7.7
tm119281,Bonnie and Clyde,MOVIE,1967,110,"['crime', 'drama', 'action']",7.7
tm98978,The Blue Lagoon,MOVIE,1980,104,"['romance', 'action', 'drama']",5.8
tm44204,The Guns of Navarone,MOVIE,1961,158,"['action', 'drama', 'war']",7.5
tm67378,The Professionals,MOVIE,1966,117,"['western', 'action', 'european']",7.3
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,78,"['comedy', 'documentation']",8.1
tm16479,White Christmas,MOVIE,1954,115,"['romance', 'comedy']",7.5
tm135083,Cairo Station,MOVIE,1958,77,"['drama', 'crime', 'comedy']",7.5
tm89386,Hitler: A Career,MOVIE,1977,150,"['history', 'documentation', 'european']",7.5
tm156453,FTA,MOVIE,1972,97,"['war', 'documentation', 'music', 'comedy']",6.2
tm14350,Alexandria… Why?,MOVIE,1979,133,['drama'],7.2
tm81728,The Land,MOVIE,1969,129,['drama'],8.1
tm94651,Dostana,MOVIE,1980,161,"['drama', 'comedy', 'crime', 'romance', 'action']",2.1
tm27298,Saladin the Victorious,MOVIE,1963,186,"['action', 'drama', 'war', 'history', 'romance']",7.6
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,146,"['drama', 'romance', 'action', 'fantasy', 'family']",6.2
tm19608,The Blazing Sun,MOVIE,1954,100,"['crime', 'romance', 'drama']",7.4
tm204541,Dark Waters,MOVIE,1956,120,"['action', 'drama', 'romance', 'thriller']",6.7
tm259855,We Are All for the Fatherland,MOVIE,1979,74,['documentation'],6.1
tm356209,Singapore,MOVIE,1960,158,"['drama', 'thriller', 'crime']",6.4
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,43,['comedy'],8.1
tm200475,"Beirut, Oh Beirut",MOVIE,1975,110,['drama'],6.4
tm90896,The Return of the Prodigal Son,MOVIE,1976,124,"['music', 'drama', 'crime']",7.2
tm336403,Khoon Khoon,MOVIE,1973,131,"['crime', 'thriller']",5.1
tm107372,Manoranjan,MOVIE,1974,162,"['romance', 'drama', 'comedy']",6.5
tm358653,Ujala,MOVIE,1959,142,"['romance', 'crime', 'drama']",6.6
tm259684,Whispers,MOVIE,1980,93,['documentation'],7.8
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,135,['romance'],4.6
tm16812,Bandie,MOVIE,1978,141,"['drama', 'action', 'romance']",4.4
ts20681,Seinfeld,SHOW,1989,24,['comedy'],8.9
tm155787,GoodFellas,MOVIE,1990,145,"['drama', 'crime']",8.7
tm22327,Full Metal Jacket,MOVIE,1987,117,"['war', 'drama']",8.3
tm180542,Once Upon a Time in America,MOVIE,1984,139,"['crime', 'drama', 'european']",8.3
tm138875,When Harry Met Sally...,MOVIE,1989,96,"['comedy', 'romance', 'drama']",7.7
tm2386,A Nightmare on Elm Street,MOVIE,1984,91,['horror'],7.4
tm133087,Steel Magnolias,MOVIE,1989,119,"['comedy', 'drama', 'romance']",7.3
tm177480,Police Academy,MOVIE,1984,97,"['crime', 'comedy']",6.7
tm54450,Christine,MOVIE,1983,110,"['horror', 'thriller', 'european']",6.7
ts22082,Knight Rider,SHOW,1982,51,"['scifi', 'action', 'crime', 'drama']",6.9
ts21715,Thomas & Friends,SHOW,1984,10,"['animation', 'family', 'comedy', 'fantasy', 'drama', 'action', 'music']",6.5
ts20678,Saved by the Bell,SHOW,1989,23,"['family', 'comedy', 'romance']",7.1
tm145608,Awakenings,MOVIE,1990,120,"['drama', 'european']",7.8
ts25028,Wheel of Fortune,SHOW,1983,26,['family'],6.7
tm147710,National Lampoon's Christmas Vacation,MOVIE,1989,97,"['comedy', 'european']",7.5
tm142895,Lean On Me,MOVIE,1989,105,['drama'],7.4
tm20712,Eddie Murphy Raw,MOVIE,1987,90,"['comedy', 'documentation']",7.6
tm117580,She's Gotta Have It,MOVIE,1986,84,"['romance', 'comedy']",6.7
ts23753,Major Dad,SHOW,1989,24,"['comedy', 'family']",6.5
tm130586,Endless Love,MOVIE,1981,116,"['romance', 'drama']",4.9
ts987,Danger Mouse,SHOW,1981,14,"['animation', 'comedy', 'family', 'scifi', 'european']",7.4
tm721687,Vaashi,MOVIE,1983,123,"['drama', 'thriller']",6.7
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,119,"['scifi', 'animation', 'action', 'drama', 'war']",7.3
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,133,"['animation', 'scifi', 'action', 'drama', 'war']",7.2
ts2760,Fireman Sam,SHOW,1987,10,"['animation', 'comedy', 'family', 'crime', 'european']",6.1
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,50,"['comedy', 'documentation']",7.2
tm126769,Waiting for the Hearse,MOVIE,1985,87,['comedy'],8.0
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,30,"['comedy', 'documentation']",6.1
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,144,"['action', 'drama', 'war', 'animation', 'scifi']",7.6
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,81,"['comedy', 'documentation']",7.9
tm52815,Disco Dancer,MOVIE,1982,106,"['drama', 'romance']",6.4
tm159912,Agneepath,MOVIE,1990,174,"['drama', 'action', 'crime']",7.6
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,72,['comedy'],8.1
tm38736,Too Young The Hero,MOVIE,1988,100,"['drama', 'war']",6.7
tm51083,A Stoning in Fulham County,MOVIE,1988,120,"['thriller', 'crime', 'drama']",5.9
tm137013,The Ryan White Story,MOVIE,1989,102,['drama'],7.2
tm157603,Dil,MOVIE,1990,172,"['drama', 'comedy', 'romance']",6.6
tm258072,Adam: His Song Continues,MOVIE,1986,100,"['crime', 'drama']",7.0
tm114356,The George McKenna Story,MOVIE,1988,100,['drama'],6.0
tm157853,In Defense of a Married Man,MOVIE,1990,94,"['drama', 'crime']",5.6
tm446654,Mujrim,MOVIE,1989,162,"['drama', 'action', 'crime']",5.4
tm348735,Aakhri Adaalat,MOVIE,1988,148,"['action', 'crime', 'thriller']",5.1
tm151332,"Alexandria, Again and Forever",MOVIE,1989,105,['drama'],6.5
tm342996,Duniya,MOVIE,1984,170,"['action', 'drama']",6.3
tm24110,Strange Voices,MOVIE,1987,100,['drama'],6.3
tm371359,Jaal,MOVIE,1986,159,"['action', 'drama', 'thriller']",5.2
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,100,['drama'],7.2
ts63001,High Risk,SHOW,1988,50,['comedy'],3.8
tm311264,Muqaddar Ka Faisla,MOVIE,1987,172,"['action', 'comedy', 'drama', 'family']",4.8
tm411457,Pyar Ke Do Pal,MOVIE,1986,125,"['drama', 'action']",6.1
tm172482,Sohni Mahiwal,MOVIE,1984,160,"['romance', 'drama', 'action']",6.1
tm419052,Ek Jaan Hain Hum,MOVIE,1983,151,"['family', 'romance']",6.3
tm47673,An Egyptian Story,MOVIE,1982,129,"['drama', 'fantasy']",7.3
tm52274,The Little Wars,MOVIE,1982,108,"['war', 'drama', 'european']",6.3
tm147829,Unspeakable Acts,MOVIE,1990,100,['drama'],6.1
ts20981,Survivor,SHOW,2000,48,['reality'],7.4
tm107744,Mission: Impossible,MOVIE,1996,110,"['thriller', 'action']",7.1
ts22176,Stargate SG-1,SHOW,1997,44,"['scifi', 'drama', 'action']",8.4
tm15897,Se7en,MOVIE,1995,127,"['crime', 'thriller', 'drama']",8.6
ts21223,Pokémon,SHOW,1997,22,"['action', 'scifi', 'animation', 'comedy', 'fantasy', 'family']",7.4
tm191013,Boogie Nights,MOVIE,1997,156,['drama'],7.9
tm122434,Forrest Gump,MOVIE,1994,142,"['drama', 'romance']",8.8
tm25947,Snatch,MOVIE,2000,103,"['crime', 'comedy']",8.3
tm43808,The Talented Mr. Ripley,MOVIE,1999,139,"['thriller', 'drama', 'crime']",7.4
ts20339,One Piece,SHOW,1999,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",8.8
ts5145,The Challenge,SHOW,1998,40,"['reality', 'comedy', 'drama', 'scifi']",7.8
tm191110,Titanic,MOVIE,1997,194,"['drama', 'romance']",7.9
ts34435,Cowboy Bebop,SHOW,1998,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",8.9
tm192037,Starship Troopers,MOVIE,1997,129,"['scifi', 'action', 'thriller']",7.3
tm27395,Mission: Impossible II,MOVIE,2000,123,"['thriller', 'action']",6.1
tm113513,Dumb and Dumber,MOVIE,1994,107,['comedy'],7.3
ts20983,Neon Genesis Evangelion,SHOW,1995,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",8.5
tm192405,Gattaca,MOVIE,1997,106,"['scifi', 'thriller', 'romance', 'drama']",7.8
tm116655,Léon: The Professional,MOVIE,1994,111,"['crime', 'drama', 'action', 'thriller', 'european']",8.5
ts21567,Gilmore Girls,SHOW,2000,46,"['comedy', 'drama']",8.2
tm116488,Natural Born Killers,MOVIE,1994,118,"['thriller', 'drama', 'crime', 'action']",7.3
tm11556,The Quick and the Dead,MOVIE,1995,107,"['action', 'thriller', 'western', 'romance']",6.5
tm56574,You've Got Mail,MOVIE,1998,119,"['comedy', 'romance', 'drama']",6.7
ts20960,Power Rangers,SHOW,1993,22,"['action', 'scifi', 'fantasy', 'family']",6.5
tm53991,Big Daddy,MOVIE,1999,93,"['drama', 'comedy', 'european']",6.4
tm49178,Vampires,MOVIE,1998,104,"['fantasy', 'action', 'horror', 'thriller']",6.1
ts25252,Yu-Gi-Oh!,SHOW,1998,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",7.3
tm191989,Donnie Brasco,MOVIE,1997,127,"['drama', 'thriller', 'crime']",7.7
ts22193,The Magic School Bus,SHOW,1994,26,"['animation', 'scifi', 'comedy', 'family', 'fantasy']",7.8
ts22489,Goosebumps,SHOW,1995,22,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']",7.6
ts21034,InuYasha,SHOW,2000,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",7.9
tm121879,A River Runs Through It,MOVIE,1992,123,['drama'],7.2
tm44402,"Girl, Interrupted",MOVIE,1999,127,"['drama', 'european']",7.3
tm187187,Last Action Hero,MOVIE,1993,131,"['action', 'fantasy', 'comedy', 'family']",6.4
ts16919,All That,SHOW,1994,22,"['comedy', 'family', 'music']",7.5
tm6859,My Girl,MOVIE,1991,103,"['drama', 'family', 'romance', 'comedy', 'european']",6.9
tm118238,Wyatt Earp,MOVIE,1994,191,"['western', 'crime', 'action', 'drama']",6.7
tm111163,Eraser,MOVIE,1996,115,"['thriller', 'action', 'drama', 'crime']",6.1
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,87,"['action', 'drama', 'animation', 'scifi', 'fantasy']",8.0
tm192769,Vegas Vacation,MOVIE,1997,94,['comedy'],5.9
tm187791,In the Line of Fire,MOVIE,1993,128,"['drama', 'thriller', 'crime', 'action']",7.2
tm113576,Little Women,MOVIE,1994,115,"['drama', 'romance', 'family']",7.3
tm65686,U.S. Marshals,MOVIE,1998,131,"['thriller', 'crime', 'action']",6.5
ts8570,Barney & Friends,SHOW,1992,28,"['comedy', 'family']",3.8
tm191387,Anaconda,MOVIE,1997,89,"['horror', 'thriller', 'action']",4.8
ts27693,Kenan & Kel,SHOW,1996,25,"['family', 'comedy']",7.8
tm19494,The Replacements,MOVIE,2000,118,"['comedy', 'sport']",6.6
tm191772,Seven Years in Tibet,MOVIE,1997,136,"['action', 'drama', 'history', 'war']",7.1
tm12499,The Net,MOVIE,1995,114,"['thriller', 'action', 'crime', 'drama']",5.9
tm186589,Cliffhanger,MOVIE,1993,112,"['action', 'thriller', 'comedy', 'animation']",6.5
tm189764,Menace II Society,MOVIE,1993,97,"['drama', 'crime', 'thriller']",7.5
tm10739,Johnny Mnemonic,MOVIE,1995,97,"['action', 'drama', 'scifi', 'thriller']",5.6
tm1822,3 Ninjas Kick Back,MOVIE,1994,93,"['comedy', 'family', 'action', 'sport']",4.5
tm55369,Edge of Seventeen,MOVIE,1998,104,"['romance', 'drama', 'comedy']",6.8
tm192431,The Devil's Own,MOVIE,1997,107,"['crime', 'thriller', 'drama', 'action', 'european']",6.2
ts22286,Cardcaptor Sakura,SHOW,1998,25,"['scifi', 'animation', 'action', 'comedy', 'drama', 'family', 'fantasy', 'romance']",8.0
tm192199,Spawn,MOVIE,1997,96,"['scifi', 'action', 'drama', 'horror']",5.2
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,22,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']",6.2
tm56033,Croupier,MOVIE,1998,94,"['drama', 'european', 'crime']",7.0
ts21581,Girlfriends,SHOW,2000,21,"['drama', 'comedy']",7.2
tm117488,The Next Karate Kid,MOVIE,1994,107,"['action', 'drama', 'family', 'sport', 'romance']",4.5
tm190811,Geronimo: An American Legend,MOVIE,1993,115,"['western', 'history', 'drama']",6.5
tm191431,Double Team,MOVIE,1997,93,"['action', 'scifi', 'comedy', 'thriller']",4.8
tm10811,Heavy,MOVIE,1995,105,"['drama', 'romance']",6.8
